year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
2006,BMW,5 Series,530xi,wagon,,wbann73526cn01726,pa,3.4,41219,gray,gray,"""r hollenshead auto sales inc""",12150,12300,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2006,BMW,X5,3.0i,suv,automatic,5uxfa13586ly30381,ca,3.1,66064,white,black,"""mercedes benz of laguna niguel""",9975,10200,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2006,BMW,3 Series,330i,sedan,automatic,wbavb33546kr81906,fl,3.7,97480,white,black,"""lokey motor company""",8000,9900,Thu Jun 04 2015 02:45:00 GMT-0700 (PDT)
2006,BMW,X3,3.0i,suv,automatic,wbxpa934x6wg74912,tx,2.9,159105,silver,black,"""tdaf remarketing""",4225,3000,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2005,BMW,3 Series,325i,sedan,automatic,wbaev33495kw16618,mi,2.5,146174,silver,black,"""erhard bmw""",3275,3500,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
2005,BMW,X5,4.4i,suv,automatic,5uxfb53555lv12172,ca,3.1,90627,blue,gray,"""ideal transportation""",7250,8750,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2005,BMW,X5,4.4i,suv,automatic,5uxfb535x5lv13513,co,2.6,179333,black,brown,"""wells fargo dealer services""",3325,2400,Wed Jun 10 2015 05:00:00 GMT-0700 (PDT)
2005,BMW,Z4,2.5i,convertible,automatic,4usbt33575ls55592,ca,2.1,121949,silver,black,"""high bid trading co inc""",6675,5000,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2005,BMW,X5,3.0i,suv,automatic,5uxfa13585ly08766,mi,3.6,110813,silver,black,"""erhard bmw""",7125,6700,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
2004,BMW,3 Series,325Ci,convertible,automatic,wbabw33404pl30724,ca,3.5,119353,black,black,"""south bay bmw""",5500,4100,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2004,BMW,3 Series,325Ci,convertible,automatic,wbabw334x4pl32349,ca,2.5,131266,silver,gray,"""south bay bmw""",5025,4200,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2004,BMW,5 Series,530i,sedan,automatic,wbana73554b809276,tx,1.9,161407,white,tan,"""bmw of arlington""",4750,3700,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2004,BMW,7 Series,745i,sedan,automatic,wbagl63574dp73804,mi,1.9,112715,black,black,"""erhard bmw of farmington hills""",5150,6700,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
2004,BMW,X5,3.0i,suv,automatic,5uxfa13504lu30330,fl,2.6,82360,gray,black,"""automatch usa""",7150,5300,Wed Jun 03 2015 10:45:00 GMT-0700 (PDT)
2004,BMW,7 Series,745Li,sedan,automatic,wbagn63494ds50804,pr,3.3,76410,black,gray,"""select remarketing group llc/anderson financial""",7525,4000,Thu Jun 11 2015 06:00:00 GMT-0700 (PDT)
2004,BMW,5 Series,530i,sedan,automatic,wbana73554b059099,nc,3.4,202058,black,beige,"""hendrick bmw""",3475,3750,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
2004,BMW,X5,3.0i,suv,automatic,5uxfa13564lu32275,tx,2.9,208950,gray,gray,"""tdaf remarketing""",2200,3500,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2004,BMW,X3,3.0i,suv,automatic,wbxpa93424wa64337,tn,2.9,65693,black,tan,"""essen motor company inc""",6050,8600,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2003,BMW,7 Series,745Li,sedan,automatic,wbagn63463dr12871,ca,2.7,161642,silver,black,"""one stop automotive and collision center inc""",3025,3000,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2003,BMW,3 Series,325i,sedan,automatic,wbaev33403kl86058,fl,2.5,109439,silver,gray,"""southern auto finance co/safco/ft lauderdale""",3725,2600,Fri Jun 05 2015 02:25:00 GMT-0700 (PDT)
2002,BMW,3 Series,325i,sedan,automatic,wbaev33492kl72724,nc,2.5,184931,white,tan,"""hendrick bmw""",1875,1850,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
2002,BMW,3 Series,325Ci,convertible,automatic,wbabs33482pg83675,nc,2.4,87381,red,beige,"""hendrick bmw""",4925,6200,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
2001,BMW,7 Series,740iL,sedan,automatic,wbagh83441dp22891,ny,2.7,70206,blue,tan,"""danbury auto group inc""",4650,4700,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
2001,BMW,3 Series,325i,sedan,automatic,wbaav33491fu96837,nc,3.1,194044,silver,gray,"""hendrick bmw""",1300,2400,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
2001,BMW,3 Series,325Ci,convertible,automatic,wbabs33431jy55741,tx,3.5,110900,silver,gray,"""bmw of arlington""",4100,3900,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2000,BMW,3 Series,323i,sedan,automatic,wbaam3345ycb26034,nc,2.0,173140,black,tan,"""crossroads ford of indian trail""",1600,1300,Mon Jun 08 2015 02:00:00 GMT-0700 (PDT)
